Codigo_Familia	Familia	Grau
6141	Meias Bebé Normais Costura por Fora	4
6142	Meias Bebé Normais Costura por Dentro	4
6143	Meias Bebé Anti-Derrapante	4
6144	Meias Bebé Grossas	4
62	BONÉS - GORROS - CHAPEUS	2
621	BONÉS/GORROS HOMEM	3
6211	Bonés Homem Abertos	4
6212	Bonés Homem Fechados	4
6213	Bonés Homem Inverno	4
6215	Gorros Homem	4
6217	Boina Homem	4
6218	Chapeu Homem Panamá	4
622	BONÉS/GORROS SENHORA	3
6221	Bonés Senhora Abertos	4
6222	Bonés Senhora Fechados	4
6225	Gorros Senhora	4
6227	Boina Senhora	4
6228	Chapeu Senhora Panamá	4
623	BONÉS/GORROS RAPAZ	3
6231	Bonés Rapaz Abertos	4
6232	Bonés Rapaz Fechados	4
6235	Gorros Rapaz	4
6238	Chapéu Rapaz Panamá	4
624	BONÉS/GORROS RAPARIGA	3
6241	Bonés Rapariga Abertos	4
6242	Bonés Rapariga Fechados	4
6245	Gorros Rapariga	4
6248	Chapeu Rapariga Panamá	4
625	BONÉS/GORROS BEBÉ	3
6251	Bonés Bebé Abertos	4
6252	Bonés Bebé Fechados	4
6255	Gorros Bebé	4
6256	Chapeu Bebé Panamá	4
63	CACHECOL	2
631	CACHECOL HOMEM	3
6311	Cachecol Homem Polar	4
6312	Cachecol Homem Malha	4
6313	Gola Homem Polar	4
6314	Gola Homem Atletismo	4
632	CACHECOL SENHORA	3
6321	Cachecol Senhora Polar	4
6322	Cachecol Senhora Malha	4
6323	Cachecol/Lenço Senhora Algodão	4
633	CACHECOL RAPAZ	3
6331	Cachecol Rapaz Polar	4
6332	Cachecol Rapaz Malha	4
634	CACHECOL RAPARIGA	3
